pais,categoria_comida,consumo,emissao_co2
Argentina,suínos,10.51,37.2
Argentina,aves,38.66,41.53
Argentina,bovinos,55.48,1712.0
Argentina,caprinos,1.56,54.63
Argentina,peixes,4.36,6.96
Argentina,ovos,11.39,10.46
Argentina,laticínios,195.08,277.87
Argentina,trigo,103.11,19.66
Argentina,arroz,8.77,11.22
Argentina,soja,0.0,0.0
Argentina,nozes,0.49,0.87
Australia,suínos,24.14,85.44
Australia,aves,46.12,49.54
Australia,bovinos,33.86,1044.85
Australia,caprinos,9.87,345.65
Australia,peixes,17.69,28.25
Australia,ovos,8.51,7.82
Australia,laticínios,234.49,334.01
Australia,trigo,70.46,13.44
Australia,arroz,11.03,14.12
Australia,soja,0.19,0.09
Australia,nozes,8.73,15.45
Albania,suínos,10.88,38.51
Albania,aves,13.23,14.21
Albania,bovinos,22.5,694.3
Albania,caprinos,15.32,536.5
Albania,peixes,3.85,6.15
Albania,ovos,12.45,11.44
Albania,laticínios,303.72,432.62
Albania,trigo,138.64,26.44
Albania,arroz,7.78,9.96
Albania,soja,0.0,0.0
Albania,nozes,4.36,7.72
Iceland,suínos,21.69,76.77
Iceland,aves,26.87,28.86
Iceland,bovinos,13.36,412.26
Iceland,caprinos,21.12,739.62
Iceland,peixes,74.41,118.81
Iceland,ovos,8.24,7.57
Iceland,laticínios,225.82,321.66
Iceland,trigo,72.92,13.91
Iceland,arroz,3.89,4.98
Iceland,soja,0.11,0.05
Iceland,nozes,3.88,6.87
New Zealand,suínos,22.29,78.9
New Zealand,aves,34.98,37.58
New Zealand,bovinos,22.49,693.99
New Zealand,caprinos,18.91,662.23
New Zealand,peixes,20.36,32.51
New Zealand,ovos,9.91,9.1
New Zealand,laticínios,137.25,195.5
New Zealand,trigo,76.91,14.67
New Zealand,arroz,9.16,11.72
New Zealand,soja,0.44,0.2
New Zealand,nozes,8.22,14.55
USA,suínos,27.64,97.83
USA,aves,50.01,53.72
USA,bovinos,36.24,1118.29
USA,caprinos,0.43,15.06
USA,peixes,12.35,19.72
USA,ovos,14.58,13.39
USA,laticínios,254.69,362.78
USA,trigo,80.43,15.34
USA,arroz,6.88,8.8
USA,soja,0.04,0.02
USA,nozes,7.86,13.91
Uruguay,suínos,16.84,59.61
Uruguay,aves,27.45,29.49
Uruguay,bovinos,29.1,897.96
Uruguay,caprinos,8.23,288.21
Uruguay,peixes,6.53,10.43
Uruguay,ovos,13.14,12.07
Uruguay,laticínios,210.54,299.89
Uruguay,trigo,109.31,20.85
Uruguay,arroz,11.5,14.72
Uruguay,soja,0.01,0.0
Uruguay,nozes,0.95,1.68
Luxembourg,suínos,43.58,154.25
Luxembourg,aves,21.37,22.96
Luxembourg,bovinos,29.88,922.03
Luxembourg,caprinos,1.67,58.48
Luxembourg,peixes,23.09,36.87
Luxembourg,ovos,14.64,13.45
Luxembourg,laticínios,255.3,363.65
Luxembourg,trigo,103.2,19.68
Luxembourg,arroz,4.2,5.37
Luxembourg,soja,0.04,0.02
Luxembourg,nozes,0.93,1.65
Brazil,suínos,12.6,44.6
Brazil,aves,45.0,48.34
Brazil,bovinos,39.25,1211.17
Brazil,caprinos,0.62,21.71
Brazil,peixes,10.01,15.98
Brazil,ovos,8.98,8.25
Brazil,laticínios,149.28,212.63
Brazil,trigo,53.0,10.11
Brazil,arroz,32.13,41.12
Brazil,soja,3.62,1.63
Brazil,nozes,0.67,1.19
Kazakhstan,suínos,10.36,36.67
Kazakhstan,aves,18.38,19.74
Kazakhstan,bovinos,23.38,721.46
Kazakhstan,caprinos,9.56,334.79
Kazakhstan,peixes,5.21,8.32
Kazakhstan,ovos,8.29,7.62
Kazakhstan,laticínios,288.12,410.4
Kazakhstan,trigo,92.31,17.6
Kazakhstan,arroz,7.32,9.37
Kazakhstan,soja,0.03,0.01
Kazakhstan,nozes,5.14,9.1
Sweden,suínos,37.0,130.96
Sweden,aves,16.64,17.87
Sweden,bovinos,24.58,758.49
Sweden,caprinos,1.41,49.38
Sweden,peixes,23.86,38.1
Sweden,ovos,13.37,12.28
Sweden,laticínios,341.23,486.05
Sweden,trigo,79.59,15.18
Sweden,arroz,5.96,7.63
Sweden,soja,0.13,0.06
Sweden,nozes,6.23,11.03
Bermuda,suínos,28.24,99.96
Bermuda,aves,32.62,35.04
Bermuda,bovinos,33.15,1022.94
Bermuda,caprinos,2.71,94.9
Bermuda,peixes,33.22,53.04
Bermuda,ovos,14.92,13.71
Bermuda,laticínios,95.56,136.12
Bermuda,trigo,54.88,10.47
Bermuda,arroz,5.38,6.88
Bermuda,soja,0.22,0.1
Bermuda,nozes,5.72,10.12
Denmark,suínos,24.87,88.03
Denmark,aves,26.75,28.73
Denmark,bovinos,28.46,878.22
Denmark,caprinos,0.92,32.22
Denmark,peixes,16.49,26.33
Denmark,ovos,15.35,14.1
Denmark,laticínios,277.3,394.99
Denmark,trigo,98.0,18.69
Denmark,arroz,4.96,6.35
Denmark,soja,0.03,0.01
Denmark,nozes,5.94,10.51
Finland,suínos,36.14,127.92
Finland,aves,19.87,21.34
Finland,bovinos,19.22,593.09
Finland,caprinos,0.53,18.56
Finland,peixes,33.8,53.97
Finland,ovos,9.55,8.77
Finland,laticínios,430.76,613.57
Finland,trigo,81.99,15.64
Finland,arroz,4.42,5.66
Finland,soja,0.08,0.04
Finland,nozes,3.43,6.07
Ireland,suínos,32.4,114.68
Ireland,aves,26.26,28.21
Ireland,bovinos,22.35,689.67
Ireland,caprinos,4.1,143.58
Ireland,peixes,17.39,27.77
Ireland,ovos,8.96,8.23
Ireland,laticínios,291.86,415.73
Ireland,trigo,107.98,20.59
Ireland,arroz,3.0,3.84
Ireland,soja,0.25,0.11
Ireland,nozes,4.1,7.26
Greece,suínos,28.31,100.2
Greece,aves,15.74,16.91
Greece,bovinos,16.1,496.81
Greece,caprinos,12.47,436.7
Greece,peixes,14.42,23.02
Greece,ovos,10.13,9.31
Greece,laticínios,255.26,363.59
Greece,trigo,124.04,23.65
Greece,arroz,6.64,8.5
Greece,soja,0.02,0.01
Greece,nozes,10.5,18.59
France,suínos,33.05,116.98
France,aves,22.93,24.63
France,bovinos,23.81,734.73
France,caprinos,3.28,114.87
France,peixes,22.91,36.58
France,ovos,13.13,12.06
France,laticínios,241.31,343.72
France,trigo,108.43,20.68
France,arroz,4.88,6.24
France,soja,0.05,0.02
France,nozes,5.39,9.54
Canada,suínos,22.81,80.74
Canada,aves,36.68,39.4
Canada,bovinos,30.25,933.45
Canada,caprinos,0.97,33.97
Canada,peixes,14.56,23.25
Canada,ovos,12.95,11.9
Canada,laticínios,187.77,267.46
Canada,trigo,84.96,16.2
Canada,arroz,12.65,16.19
Canada,soja,0.94,0.42
Canada,nozes,8.01,14.18
Norway,suínos,23.51,83.21
Norway,aves,21.01,22.57
Norway,bovinos,19.83,611.91
Norway,caprinos,5.34,187.01
Norway,peixes,38.18,60.96
Norway,ovos,11.41,10.48
Norway,laticínios,261.34,372.25
Norway,trigo,97.12,18.52
Norway,arroz,4.36,5.58
Norway,soja,0.11,0.05
Norway,nozes,5.28,9.35
Hong Kong SAR. China,suínos,67.11,237.54
Hong Kong SAR. China,aves,54.86,58.93
Hong Kong SAR. China,bovinos,25.82,796.75
Hong Kong SAR. China,caprinos,2.22,77.74
Hong Kong SAR. China,peixes,42.44,67.76
Hong Kong SAR. China,ovos,14.5,13.32
Hong Kong SAR. China,laticínios,105.85,150.77
Hong Kong SAR. China,trigo,53.14,10.13
Hong Kong SAR. China,arroz,43.48,55.64
Hong Kong SAR. China,soja,2.79,1.26
Hong Kong SAR. China,nozes,13.81,24.44
French Polynesia,suínos,14.75,52.21
French Polynesia,aves,49.55,53.23
French Polynesia,bovinos,30.9,953.51
French Polynesia,caprinos,2.83,99.11
French Polynesia,peixes,38.95,62.19
French Polynesia,ovos,8.75,8.04
French Polynesia,laticínios,93.56,133.27
French Polynesia,trigo,68.67,13.1
French Polynesia,arroz,35.59,45.54
French Polynesia,soja,0.77,0.35
French Polynesia,nozes,2.34,4.14
Israel,suínos,1.99,7.04
Israel,aves,62.5,67.14
Israel,bovinos,28.78,888.09
Israel,caprinos,1.87,65.49
Israel,peixes,22.18,35.41
Israel,ovos,11.35,10.43
Israel,laticínios,193.6,275.76
Israel,trigo,110.86,21.14
Israel,arroz,16.81,21.51
Israel,soja,0.1,0.05
Israel,nozes,7.71,13.65
Switzerland,suínos,31.49,111.46
Switzerland,aves,16.38,17.6
Switzerland,bovinos,21.26,656.04
Switzerland,caprinos,1.42,49.73
Switzerland,peixes,13.48,21.52
Switzerland,ovos,10.53,9.67
Switzerland,laticínios,318.69,453.94
Switzerland,trigo,89.51,17.07
Switzerland,arroz,2.43,3.11
Switzerland,soja,0.44,0.2
Switzerland,nozes,9.27,16.41
Netherlands,suínos,36.36,128.7
Netherlands,aves,23.9,25.67
Netherlands,bovinos,17.67,545.26
Netherlands,caprinos,0.94,32.92
Netherlands,peixes,18.64,29.76
Netherlands,ovos,14.03,12.89
Netherlands,laticínios,341.47,486.39
Netherlands,trigo,70.17,13.38
Netherlands,arroz,2.93,3.75
Netherlands,soja,0.12,0.05
Netherlands,nozes,7.94,14.05
Kuwait,suínos,0.0,0.0
Kuwait,aves,53.61,57.59
Kuwait,bovinos,13.03,402.08
Kuwait,caprinos,15.61,546.66
Kuwait,peixes,11.99,19.14
Kuwait,ovos,12.6,11.57
Kuwait,laticínios,157.66,224.57
Kuwait,trigo,96.76,18.45
Kuwait,arroz,43.83,56.09
Kuwait,soja,0.06,0.03
Kuwait,nozes,5.23,9.26
United Kingdom,suínos,25.79,91.28
United Kingdom,aves,31.55,33.89
United Kingdom,bovinos,18.12,559.15
United Kingdom,caprinos,4.49,157.24
United Kingdom,peixes,15.49,24.73
United Kingdom,ovos,11.08,10.18
United Kingdom,laticínios,232.2,330.75
United Kingdom,trigo,98.63,18.81
United Kingdom,arroz,6.39,8.18
United Kingdom,soja,0.05,0.02
United Kingdom,nozes,4.18,7.4
Austria,suínos,52.56,186.04
Austria,aves,18.61,19.99
Austria,bovinos,17.14,528.9
Austria,caprinos,1.16,40.62
Austria,peixes,12.16,19.42
Austria,ovos,14.68,13.49
Austria,laticínios,258.09,367.62
Austria,trigo,81.1,15.47
Austria,arroz,3.7,4.73
Austria,soja,2.06,0.93
Austria,nozes,7.88,13.95
Oman,suínos,0.01,0.04
Oman,aves,31.51,33.85
Oman,bovinos,15.1,465.95
Oman,caprinos,12.87,450.71
Oman,peixes,21.56,34.42
Oman,ovos,7.8,7.17
Oman,laticínios,152.28,216.91
Oman,trigo,64.1,12.22
Oman,arroz,56.55,72.37
Oman,soja,0.21,0.09
Oman,nozes,1.68,2.97
Italy,suínos,40.28,142.57
Italy,aves,18.61,19.99
Italy,bovinos,18.6,573.96
Italy,caprinos,0.92,32.22
Italy,peixes,15.6,24.91
Italy,ovos,13.34,12.25
Italy,laticínios,246.88,351.66
Italy,trigo,146.37,27.91
Italy,arroz,5.74,7.35
Italy,soja,0.01,0.0
Italy,nozes,7.63,13.51
Bahamas,suínos,32.74,115.88
Bahamas,aves,45.74,49.13
Bahamas,bovinos,19.92,614.69
Bahamas,caprinos,5.22,182.8
Bahamas,peixes,18.8,30.02
Bahamas,ovos,6.2,5.7
Bahamas,laticínios,104.76,149.22
Bahamas,trigo,39.98,7.62
Bahamas,arroz,23.97,30.67
Bahamas,soja,0.09,0.04
Bahamas,nozes,4.03,7.13
Portugal,suínos,37.91,134.18
Portugal,aves,30.14,32.38
Portugal,bovinos,16.45,507.61
Portugal,caprinos,2.38,83.35
Portugal,peixes,45.39,72.47
Portugal,ovos,9.05,8.31
Portugal,laticínios,205.04,292.06
Portugal,trigo,94.3,17.98
Portugal,arroz,14.86,19.02
Portugal,soja,0.01,0.0
Portugal,nozes,3.91,6.92
Malta,suínos,34.24,121.19
Malta,aves,26.4,28.36
Malta,bovinos,19.22,593.09
Malta,caprinos,1.19,41.67
Malta,peixes,24.58,39.25
Malta,ovos,11.64,10.69
Malta,laticínios,190.06,270.72
Malta,trigo,139.58,26.62
Malta,arroz,4.96,6.35
Malta,soja,0.05,0.02
Malta,nozes,5.62,9.95
Armenia,suínos,9.67,34.23
Armenia,aves,13.35,14.34
Armenia,bovinos,19.66,606.67
Armenia,caprinos,3.02,105.76
Armenia,peixes,4.36,6.96
Armenia,ovos,11.69,10.74
Armenia,laticínios,209.03,297.74
Armenia,trigo,130.6,24.91
Armenia,arroz,3.18,4.07
Armenia,soja,0.0,0.0
Armenia,nozes,2.55,4.51
Slovenia,suínos,28.19,99.78
Slovenia,aves,23.46,25.2
Slovenia,bovinos,18.43,568.71
Slovenia,caprinos,0.79,27.67
Slovenia,peixes,7.76,12.39
Slovenia,ovos,9.36,8.6
Slovenia,laticínios,235.01,334.75
Slovenia,trigo,103.43,19.72
Slovenia,arroz,3.95,5.05
Slovenia,soja,0.75,0.34
Slovenia,nozes,5.28,9.35
Chile,suínos,24.68,87.35
Chile,aves,36.52,39.23
Chile,bovinos,23.86,736.27
Chile,caprinos,0.42,14.71
Chile,peixes,7.65,12.21
Chile,ovos,9.97,9.16
Chile,laticínios,116.11,165.39
Chile,trigo,104.74,19.97
Chile,arroz,8.85,11.33
Chile,soja,0.04,0.02
Chile,nozes,2.22,3.93
Venezuela,suínos,7.23,25.59
Venezuela,aves,39.28,42.19
Venezuela,bovinos,25.89,798.91
Venezuela,caprinos,0.32,11.21
Venezuela,peixes,8.34,13.32
Venezuela,ovos,5.63,5.17
Venezuela,laticínios,117.79,167.78
Venezuela,trigo,49.17,9.38
Venezuela,arroz,23.39,29.93
Venezuela,soja,0.0,0.0
Venezuela,nozes,0.35,0.62
Belgium,suínos,38.65,136.8
Belgium,aves,12.2,13.11
Belgium,bovinos,15.63,482.31
Belgium,caprinos,1.32,46.23
Belgium,peixes,18.97,30.29
Belgium,ovos,12.59,11.57
Belgium,laticínios,236.19,336.43
Belgium,trigo,111.91,21.34
Belgium,arroz,8.61,11.02
Belgium,soja,0.07,0.03
Belgium,nozes,7.32,12.96
Germany,suínos,51.81,183.38
Germany,aves,17.75,19.07
Germany,bovinos,13.16,406.09
Germany,caprinos,0.73,25.56
Germany,peixes,11.16,17.82
Germany,ovos,12.2,11.21
Germany,laticínios,258.7,368.49
Germany,trigo,83.41,15.91
Germany,arroz,3.34,4.27
Germany,soja,0.88,0.4
Germany,nozes,7.96,14.09
Russia,suínos,25.66,90.82
Russia,aves,27.5,29.54
Russia,bovinos,16.98,523.97
Russia,caprinos,1.4,49.03
Russia,peixes,20.82,33.24
Russia,ovos,15.43,14.17
Russia,laticínios,163.57,232.99
Russia,trigo,130.99,24.98
Russia,arroz,4.71,6.03
Russia,soja,0.05,0.02
Russia,nozes,1.62,2.87
Croatia,suínos,42.79,151.46
Croatia,aves,8.52,9.15
Croatia,bovinos,12.41,382.95
Croatia,caprinos,1.71,59.88
Croatia,peixes,15.83,25.28
Croatia,ovos,8.48,7.79
Croatia,laticínios,231.02,329.06
Croatia,trigo,106.59,20.33
Croatia,arroz,2.64,3.38
Croatia,soja,0.0,0.0
Croatia,nozes,3.88,6.87
Belarus,suínos,40.37,142.89
Belarus,aves,31.29,33.61
Belarus,bovinos,17.11,527.98
Belarus,caprinos,0.11,3.85
Belarus,peixes,15.75,25.15
Belarus,ovos,15.86,14.57
Belarus,laticínios,133.73,190.49
Belarus,trigo,60.48,11.53
Belarus,arroz,3.17,4.06
Belarus,soja,0.3,0.14
Belarus,nozes,3.36,5.95
Spain,suínos,48.92,173.15
Spain,aves,28.63,30.75
Spain,bovinos,12.15,374.92
Spain,caprinos,2.16,75.64
Spain,peixes,28.83,46.03
Spain,ovos,13.32,12.24
Spain,laticínios,164.29,234.01
Spain,trigo,93.88,17.9
Spain,arroz,8.32,10.65
Spain,soja,0.02,0.01
Spain,nozes,7.44,13.17
Paraguay,suínos,26.24,92.88
Paraguay,aves,6.39,6.86
Paraguay,bovinos,19.81,611.29
Paraguay,caprinos,0.56,19.61
Paraguay,peixes,3.6,5.75
Paraguay,ovos,18.83,17.3
Paraguay,laticínios,75.72,107.86
Paraguay,trigo,31.51,6.01
Paraguay,arroz,4.91,6.28
Paraguay,soja,0.0,0.0
Paraguay,nozes,1.6,2.83
New Caledonia,suínos,19.9,70.44
New Caledonia,aves,44.36,47.65
New Caledonia,bovinos,16.07,495.89
New Caledonia,caprinos,1.95,68.29
New Caledonia,peixes,19.38,30.94
New Caledonia,ovos,8.85,8.13
New Caledonia,laticínios,108.0,153.84
New Caledonia,trigo,81.75,15.59
New Caledonia,arroz,17.47,22.36
New Caledonia,soja,0.55,0.25
New Caledonia,nozes,2.96,5.24
South Africa,suínos,4.16,14.72
South Africa,aves,37.57,40.36
South Africa,bovinos,18.03,556.37
South Africa,caprinos,4.28,149.89
South Africa,peixes,5.56,8.88
South Africa,ovos,7.21,6.62
South Africa,laticínios,55.75,79.41
South Africa,trigo,60.13,11.47
South Africa,arroz,17.41,22.28
South Africa,soja,1.27,0.57
South Africa,nozes,1.04,1.84
Barbados,suínos,8.3,29.38
Barbados,aves,42.62,45.78
Barbados,bovinos,13.13,405.16
Barbados,caprinos,4.08,142.88
Barbados,peixes,37.41,59.73
Barbados,ovos,9.61,8.83
Barbados,laticínios,110.48,157.37
Barbados,trigo,65.71,12.53
Barbados,arroz,15.66,20.04
Barbados,soja,0.1,0.05
Barbados,nozes,4.16,7.36
Lithuania,suínos,45.67,161.65
Lithuania,aves,26.84,28.83
Lithuania,bovinos,4.49,138.55
Lithuania,caprinos,0.24,8.4
Lithuania,peixes,42.39,67.68
Lithuania,ovos,13.11,12.04
Lithuania,laticínios,295.46,420.85
Lithuania,trigo,121.59,23.19
Lithuania,arroz,3.07,3.93
Lithuania,soja,0.02,0.01
Lithuania,nozes,2.13,3.77
Turkey,suínos,0.01,0.04
Turkey,aves,18.78,20.17
Turkey,bovinos,11.64,359.19
Turkey,caprinos,4.68,163.89
Turkey,peixes,5.58,8.91
Turkey,ovos,8.2,7.53
Turkey,laticínios,193.94,276.25
Turkey,trigo,169.96,32.41
Turkey,arroz,10.74,13.74
Turkey,soja,1.71,0.77
Turkey,nozes,7.97,14.11
Estonia,suínos,29.68,105.05
Estonia,aves,21.11,22.68
Estonia,bovinos,7.19,221.87
Estonia,caprinos,0.44,15.41
Estonia,peixes,12.78,20.41
Estonia,ovos,12.66,11.63
Estonia,laticínios,284.85,405.74
Estonia,trigo,89.36,17.04
Estonia,arroz,2.56,3.28
Estonia,soja,0.04,0.02
Estonia,nozes,4.29,7.59
Mexico,suínos,15.23,53.91
Mexico,aves,30.12,32.35
Mexico,bovinos,15.33,473.05
Mexico,caprinos,0.89,31.17
Mexico,peixes,7.56,12.07
Mexico,ovos,18.34,16.85
Mexico,laticínios,111.87,159.35
Mexico,trigo,35.21,6.71
Mexico,arroz,5.64,7.22
Mexico,soja,0.02,0.01
Mexico,nozes,2.51,4.44
Costa Rica,suínos,10.28,36.39
Costa Rica,aves,24.47,26.29
Costa Rica,bovinos,15.23,469.97
Costa Rica,caprinos,0.02,0.7
Costa Rica,peixes,11.32,18.07
Costa Rica,ovos,10.55,9.69
Costa Rica,laticínios,183.28,261.06
Costa Rica,trigo,39.31,7.5
Costa Rica,arroz,45.69,58.47
Costa Rica,soja,1.54,0.69
Costa Rica,nozes,1.38,2.44
Bolivia,suínos,8.89,31.47
Bolivia,aves,34.31,36.86
Bolivia,bovinos,19.78,610.37
Bolivia,caprinos,1.72,60.23
Bolivia,peixes,2.18,3.48
Bolivia,ovos,5.18,4.76
Bolivia,laticínios,46.04,65.58
Bolivia,trigo,49.99,9.53
Bolivia,arroz,26.99,34.54
Bolivia,soja,0.01,0.0
Bolivia,nozes,9.16,16.21
Ecuador,suínos,14.44,51.11
Ecuador,aves,21.85,23.47
Ecuador,bovinos,16.61,512.55
Ecuador,caprinos,0.44,15.41
Ecuador,peixes,5.17,8.25
Ecuador,ovos,8.01,7.36
Ecuador,laticínios,139.6,198.85
Ecuador,trigo,39.19,7.47
Ecuador,arroz,45.07,57.68
Ecuador,soja,0.0,0.0
Ecuador,nozes,0.98,1.73
Panama,suínos,13.48,47.71
Panama,aves,30.81,33.1
Panama,bovinos,20.4,629.5
Panama,caprinos,0.01,0.35
Panama,peixes,11.05,17.64
Panama,ovos,4.53,4.16
Panama,laticínios,70.29,100.12
Panama,trigo,38.96,7.43
Panama,arroz,66.42,85.0
Panama,soja,3.53,1.59
Panama,nozes,1.05,1.86
Czech Republic,suínos,41.17,145.72
Czech Republic,aves,19.09,20.51
Czech Republic,bovinos,8.15,251.49
Czech Republic,caprinos,0.34,11.91
Czech Republic,peixes,8.25,13.17
Czech Republic,ovos,11.66,10.71
Czech Republic,laticínios,195.2,278.04
Czech Republic,trigo,92.67,17.67
Czech Republic,arroz,4.79,6.13
Czech Republic,soja,0.82,0.37
Czech Republic,nozes,2.47,4.37
Romania,suínos,25.31,89.58
Romania,aves,15.38,16.52
Romania,bovinos,4.78,147.5
Romania,caprinos,3.41,119.42
Romania,peixes,6.07,9.69
Romania,ovos,12.94,11.89
Romania,laticínios,238.33,339.48
Romania,trigo,134.87,25.72
Romania,arroz,2.59,3.31
Romania,soja,0.01,0.0
Romania,nozes,1.8,3.19
Colombia,suínos,6.51,23.04
Colombia,aves,27.57,29.62
Colombia,bovinos,16.36,504.84
Colombia,caprinos,0.21,7.35
Colombia,peixes,6.01,9.6
Colombia,ovos,10.78,9.9
Colombia,laticínios,108.47,154.5
Colombia,trigo,29.79,5.68
Colombia,arroz,28.02,35.86
Colombia,soja,0.89,0.4
Colombia,nozes,0.42,0.74
Maldives,suínos,1.22,4.32
Maldives,aves,18.47,19.84
Maldives,bovinos,9.44,291.3
Maldives,caprinos,0.7,24.51
Maldives,peixes,179.71,286.94
Maldives,ovos,10.79,9.91
Maldives,laticínios,111.47,158.78
Maldives,trigo,77.77,14.83
Maldives,arroz,50.73,64.92
Maldives,soja,0.2,0.09
Maldives,nozes,15.83,28.02
Cyprus,suínos,38.38,135.85
Cyprus,aves,24.45,26.26
Cyprus,bovinos,5.79,178.67
Cyprus,caprinos,5.05,176.85
Cyprus,peixes,14.86,23.73
Cyprus,ovos,8.98,8.25
Cyprus,laticínios,113.31,161.4
Cyprus,trigo,83.25,15.88
Cyprus,arroz,4.94,6.32
Cyprus,soja,0.04,0.02
Cyprus,nozes,4.6,8.14
Serbia,suínos,32.04,113.41
Serbia,aves,10.64,11.43
Serbia,bovinos,7.05,217.55
Serbia,caprinos,3.56,124.67
Serbia,peixes,5.59,8.93
Serbia,ovos,8.89,8.17
Serbia,laticínios,148.53,211.57
Serbia,trigo,105.88,20.19
Serbia,arroz,1.22,1.56
Serbia,soja,0.0,0.0
Serbia,nozes,3.31,5.86
United Arab Emirates,suínos,0.0,0.0
United Arab Emirates,aves,41.04,44.09
United Arab Emirates,bovinos,5.64,174.04
United Arab Emirates,caprinos,9.08,317.98
United Arab Emirates,peixes,20.41,32.59
United Arab Emirates,ovos,8.23,7.56
United Arab Emirates,laticínios,132.66,188.96
United Arab Emirates,trigo,101.29,19.32
United Arab Emirates,arroz,56.25,71.98
United Arab Emirates,soja,0.08,0.04
United Arab Emirates,nozes,23.03,40.76
Algeria,suínos,0.0,0.0
Algeria,aves,7.42,7.97
Algeria,bovinos,5.6,172.8
Algeria,caprinos,7.69,269.3
Algeria,peixes,3.74,5.97
Algeria,ovos,8.06,7.4
Algeria,laticínios,141.53,201.6
Algeria,trigo,185.42,35.36
Algeria,arroz,2.97,3.8
Algeria,soja,0.0,0.0
Algeria,nozes,2.08,3.68
Ukraine,suínos,20.56,72.77
Ukraine,aves,24.23,26.03
Ukraine,bovinos,8.96,276.49
Ukraine,caprinos,0.41,14.36
Ukraine,peixes,15.23,24.32
Ukraine,ovos,18.01,16.54
Ukraine,laticínios,145.03,206.58
Ukraine,trigo,105.15,20.05
Ukraine,arroz,3.0,3.84
Ukraine,soja,0.02,0.01
Ukraine,nozes,2.68,4.74
Pakistan,suínos,0.0,0.0
Pakistan,aves,5.01,5.38
Pakistan,bovinos,8.82,272.17
Pakistan,caprinos,2.46,86.15
Pakistan,peixes,1.87,2.99
Pakistan,ovos,2.95,2.71
Pakistan,laticínios,183.13,260.85
Pakistan,trigo,113.63,21.67
